ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
392,S/E COLCHAGUA,SE041,SE041T0058,41,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
394,S/E COLLIPULLI,SE043,SE043T0058,43,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
395,S/E COLO COLO,SE044,SE044T0058,44,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
396,S/E COMBARBALA,SE049,SE049T0058,49,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
397,S/E LINARES,SE046,SE046T0058,46,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
398,S/E CASAS VIEJAS,SE047,SE047T0058,47,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
399,S/E SANTA ELVIRA,SE048,SE048T0058,48,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
400,S/E PUNTA DE CORTES,SE103,SE103T0058,103,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
401,S/E QUINQUIMO,SE051,SE051T0058,51,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
402,S/E RENGO,SE052,SE052T0058,52,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
403,S/E SALAMANCA,SE053,SE053T0058,53,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
404,S/E SAN FERNANDO,SE054,SE054T0058,54,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
405,S/E SAN FRANCISCO DE MOSTAZAL,SE055,SE055T0058,55,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
406,S/E SAN JOAQUIN (CGE),SE056,SE056T0058,56,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
407,S/E SAN MIGUEL,SE057,SE057T0058,57,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
408,S/E LAUTARO,SE058,SE058T0058,58,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
409,S/E SAN VICENTE DE TAGUA TAGUA,SE059,SE059T0058,59,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
