ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
201,TER GUACOLDA,Termoeléctricas,GUACOLDA ENERGÍA SPA,Atacama,Huasco,CE01G0011,GUACOLDA ENERGÍA SPA
205,PMGD HP PURISIMA,Hidroeléctricas,ENERBOSCH S.A.,Maule,Molina,CE02G0054,ENERBOSCH S.A.
206,TER SAN ISIDRO II,Termoeléctricas,ENEL GENERACIÓN CHILE S.A.,Valparaíso,Quillota,CE18G0021,ENEL GENERACIÓN CHILE S.A.
208,TER CELCO,Termoeléctricas,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,Maule,Constitución,CE02L0089,ARAUCO BIOENERGÍA SPA
209,PMGD HP RECA,Hidroeléctricas,ENERBOSCH S.A.,Los Ríos,Panguipulli,CE01G0054,ENERBOSCH S.A.
211,TER LAUTARO,Termoeléctricas,COMASA SPA,Araucanía,Lautaro,CE01G0067,COMASA SPA
212,TER SAN ISIDRO,Termoeléctricas,ENEL GENERACIÓN CHILE S.A.,Valparaíso,Quillota,CE17G0021,ENEL GENERACIÓN CHILE S.A.
214,TER CEMENTOS BIO BIO CENTRO,Termoeléctricas,NUEVO AMANECER FZ SPA,Maule,Teno,CE01G1089,NUEVO AMANECER FZ SPA
216,HP CHACAYES,Hidroeléctricas,PACIFIC HYDRO CHACAYES S.A.,OHiggins,Machalí,CE03G0101,PACIFIC HYDRO CHACAYES S.A.
217,PMGD HP EL DIUTO,Hidroeléctricas,MINICENTRAL HIDROELÉCTRICA EL DIUTO S.A.,Biobío,Los Angeles,CE01G0084,MINICENTRAL HIDROELÉCTRICA EL DIUTO S.A.
218,TER ENERGIA PACIFICO,Termoeléctricas,ENERGÍA PACÍFICO S.A.,OHiggins,Mostazal,CE01G0087,ENERGÍA PACÍFICO S.A.
219,PMGD TER HBS,Termoeléctricas,HBS ENERGÍA S.A.,Biobío,Los Angeles,CE02G0126,HBS ENERGÍA S.A.
220,PMGD TER TOMAVAL,Termoeléctricas,TOMAVAL GENERACIÓN S.A.,Valparaíso,La Cruz,CE03G0153,BIOCRUZ GENERACIÓN S.A.
221,PMGD HP MUCHI,Hidroeléctricas,HIDROMUCHI S.A.,Los Ríos,Lago Ranco,CE01G0085,ENERGY PARTNERS SPA
222,PMGD HP LA ARENA,Hidroeléctricas,ENERGÍA DE LA PATAGONIA Y AYSÉN SPA,Los Lagos,Puerto Montt,CE01G1072,ENERGÍA DE LA PATAGONIA Y AYSÉN SPA
223,PE PUNTA COLORADA,Eólicas,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA,Coquimbo,La Higuera,CE01G0062,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA
226,TER SANTA FE,Termoeléctricas,BIOENERGÍAS FORESTALES SPA,Biobío,Nacimiento,CE01G0088,BIOENERGÍAS FORESTALES SPA
227,TER VIÑALES,Termoeléctricas,MADERAS ARAUCO S.A.,Maule,Constitución,CE01L0003,ARAUCO BIOENERGÍA SPA
229,HP CALLAO,Hidroeléctricas,HIDROENERSUR SPA,Los Lagos,Puerto Octay,CE03G0476,HIDROENERSUR SPA
